logFC	t	P.Value	adj.P.Val
XM_015585455.1	-9.53276223118721	-26.9645506459804	3.85215854039235e-08	3.38219519846448e-05
XM_006906760.2	-9.31434165340149	-20.9786674021169	2.06853462491126e-07	9.08086700336043e-05
XM_006906678.2	-7.34418296912896	-19.1058785668843	3.85877087369145e-07	0.00011293336090337
XM_015585714.1	7.26368703823899	12.3879488012059	6.72346030378149e-06	0.00147579953668004
XM_015585437.1	-7.06881879363392	-11.2986997839785	1.22185716496531e-05	0.00214558118167908
XM_006906645.2	-9.7263207787903	-10.0490996266137	2.59582922536919e-05	0.00379856343312358
XM_006907096.2	8.33788690364709	9.00557662493366	5.20703851367756e-05	0.00653111402144128
XM_015585706.1	9.2545157572571	7.44163478146007	0.000170363705100877	0.0186974166348212
XM_015585715.1	9.12240491564943	6.29738150274449	0.000464401485645936	0.0453049449330146
XM_015585717.1	10.2166802248483	5.44019709531336	0.00108073328521739	0.0866578699087733
